created_at,tweets_count_76ers,tweets_count_Blazers,tweets_count_Bucks,tweets_count_Bulls,tweets_count_Cavaliers,tweets_count_Celtics,tweets_count_Clippers,tweets_count_Grizzlies,tweets_count_Hawks,tweets_count_Heat,tweets_count_Hornets,tweets_count_Jazz,tweets_count_Kings,tweets_count_Knicks,tweets_count_Lakers,tweets_count_Magic,tweets_count_Mavericks,tweets_count_Nets,tweets_count_Nuggets,tweets_count_Pacers,tweets_count_Pelicans,tweets_count_Pistons,tweets_count_Raptors,tweets_count_Rockets,tweets_count_Spurs,tweets_count_Suns,tweets_count_Thunder,tweets_count_Timberwolves,tweets_count_Warriors,tweets_count_Wizards
2020-03-08,21,24,23,13,55,26,31,64,25,19,16,28,30,16,48,16,19,33,28,17,37,33,9,25,15,23,25,26,38,44
2020-03-09,2,12,19,5,35,12,3,14,11,32,19,16,20,30,15,23,18,14,6,29,8,15,38,24,23,20,16,6,5,44
2020-03-10,3,7,30,9,17,13,2,21,44,8,34,47,15,14,10,11,6,6,44,20,8,9,39,11,12,7,3,9,7,48
2020-03-11,24,54,9,21,34,18,39,35,9,8,13,8,9,24,39,30,26,43,15,24,10,19,3,35,45,22,7,13,27,58
2020-03-12,16,8,9,1,5,2,0,2,27,14,18,2,27,12,1,1,28,0,13,3,5,19,2,0,2,3,4,3,2,5
2020-03-13,0,5,4,1,5,1,2,0,2,2,2,8,27,1,4,0,16,0,3,1,4,6,3,1,0,10,1,3,0,2
2020-03-14,2,4,7,2,0,1,2,0,0,0,0,2,9,1,9,0,4,3,3,1,2,1,4,0,0,13,0,0,7,2
2020-03-15,0,10,1,0,0,1,0,0,2,0,2,3,2,0,1,0,0,0,4,1,1,0,2,0,0,0,0,1,3,3
2020-03-16,1,5,1,0,3,2,0,4,1,0,1,2,3,5,2,1,16,0,1,0,2,2,4,0,1,0,0,3,1,2
2020-03-17,0,10,11,1,8,2,0,0,0,3,4,1,5,0,4,3,15,1,1,1,4,2,2,0,2,0,3,5,4,14
2020-03-18,1,11,6,6,10,0,2,1,2,2,0,5,3,0,18,12,12,0,16,4,12,1,10,2,7,5,2,4,6,20
2020-03-19,4,10,8,4,12,3,1,1,0,11,3,11,3,0,7,16,6,0,7,2,16,4,2,12,7,20,3,20,11,15
2020-03-20,1,9,13,5,8,18,10,9,0,5,11,9,9,0,2,17,18,0,21,2,10,7,3,3,6,6,4,15,11,19
2020-03-21,4,6,18,9,3,28,5,13,4,18,12,6,2,0,14,13,2,0,9,6,46,1,7,2,10,11,1,1,10,36
2020-03-22,1,12,18,5,3,19,0,80,19,6,3,2,2,1,21,2,8,0,9,1,33,3,3,5,8,11,3,9,10,12
2020-03-23,2,21,10,5,9,15,6,10,2,21,4,16,2,0,8,4,15,0,6,9,23,5,11,8,7,57,3,34,11,58
2020-03-24,3,14,30,7,10,32,0,8,0,15,8,2,6,0,22,2,18,0,5,11,24,3,4,32,7,18,2,10,3,20
2020-03-25,14,59,22,9,4,16,9,51,6,12,47,5,4,1,12,10,8,5,13,5,24,6,9,22,7,17,5,8,5,40
